Entity,Code,Year,GDPPerCapita
Afghanistan,AFG,2010,1627.671630859375
Albania,ALB,2010,9222.97265625
Algeria,DZA,2010,12587.744140625
Angola,AGO,2010,7520.666015625
Argentina,ARG,2010,18979.9921875
Armenia,ARM,2010,8330.8115234375
Australia,AUS,2010,45400.22265625
Austria,AUT,2010,40288.34765625
Azerbaijan,AZE,2010,16153.8369140625
Bahrain,BHR,2010,34057.71484375
Bangladesh,BGD,2010,2599.20849609375
Barbados,BRB,2010,11954.322265625
Belarus,BLR,2010,17172.4609375
Belgium,BEL,2010,37739.328125
Benin,BEN,2010,1854.6656494140625
Bolivia,BOL,2010,5141.7587890625
Bosnia and Herzegovina,BIH,2010,8982.4580078125
Botswana,BWA,2010,12544.7275390625
Brazil,BRA,2010,14215.6123046875
Bulgaria,BGR,2010,14686.4609375
Burkina Faso,BFA,2010,1326.197509765625
Burundi,BDI,2010,717.6115112304688
Cambodia,KHM,2010,2426.68701171875
Cameroon,CMR,2010,2420.1328125
Canada,CAN,2010,41209.42578125
Cape Verde,CPV,2010,6033.72021484375
Central African Republic,CAF,2010,910.3104248046876
Chad,TCD,2010,1720.3343505859375
Chile,CHL,2010,18909.84765625
China,CHN,2010,9658.4189453125
Colombia,COL,2010,11191.6865234375
Comoros,COM,2010,1432.5623779296875
Congo,COG,2010,5738.1630859375
Costa Rica,CRI,2010,12031.5712890625
Cote d'Ivoire,CIV,2010,2555.016357421875
Croatia,HRV,2010,19511.349609375
Cuba,CUB,2010,6578.1904296875
Cyprus,CYP,2010,27630.103515625
Czechia,CZE,2010,25922.39453125
Czechoslovakia,OWID_CZS,2010,24573.30859375
Democratic Republic of Congo,COD,2010,637.1298217773438
Denmark,DNK,2010,42932.3984375
Djibouti,DJI,2010,2543.873291015625
Dominica,DMA,2010,8768.4775390625
Dominican Republic,DOM,2010,11276.4609375
East Asia,,2010,12853.4306640625
Eastern Europe,,2010,17021.2890625
Ecuador,ECU,2010,9327.212890625
Egypt,EGY,2010,10719.291015625
El Salvador,SLV,2010,7351.11474609375
Equatorial Guinea,GNQ,2010,42037.8984375
Estonia,EST,2010,20713.42578125
Eswatini,SWZ,2010,7192.751953125
Ethiopia,ETH,2010,1106.383056640625
Finland,FIN,2010,37615.11328125
Former Sudan,,2010,3707.302734375
France,FRA,2010,36086.7265625
Gabon,GAB,2010,14926.69921875
Gambia,GMB,2010,1772.7269287109375
Georgia,GEO,2010,8443.4365234375
Germany,DEU,2010,41109.58203125
Ghana,GHA,2010,2946.039306640625
Greece,GRC,2010,26517.46484375
Guatemala,GTM,2010,6526.45751953125
Guinea,GIN,2010,1291.6961669921875
Guinea-Bissau,GNB,2010,1329.3724365234375
Haiti,HTI,2010,1556.5504150390625
Honduras,HND,2010,4305.89208984375
Hong Kong,HKG,2010,43170.55078125
Hungary,HUN,2010,20036.333984375
Iceland,ISL,2010,36272.6875
India,IND,2010,4525.74560546875
Indonesia,IDN,2010,8386.43359375
Iran,IRN,2010,17751.330078125
Iraq,IRQ,2010,10274.330078125
Ireland,IRL,2010,48623.80859375
Israel,ISR,2010,28575.53125
Italy,ITA,2010,34765.9375
Jamaica,JAM,2010,7025.93017578125
Japan,JPN,2010,35011.40234375
Jordan,JOR,2010,11601.087890625
Kazakhstan,KAZ,2010,19964.529296875
Kenya,KEN,2010,2579.531005859375
Kuwait,KWT,2010,68865.3125
Kyrgyzstan,KGZ,2010,3977.64892578125
Laos,LAO,2010,4114.01025390625
Latin America,,2010,13452.81640625
Latvia,LVA,2010,17140.2265625
Lebanon,LBN,2010,15622.3671875
Lesotho,LSO,2010,2313.882080078125
Liberia,LBR,2010,854.2349853515625
Libya,LBY,2010,29157.142578125
Lithuania,LTU,2010,18663.76171875
Luxembourg,LUX,2010,54086.3359375
Madagascar,MDG,2010,1349.6197509765625
Malawi,MWI,2010,1091.587646484375
Malaysia,MYS,2010,18574.298828125
Mali,MLI,2010,1504.99560546875
Malta,MLT,2010,23632.625
Mauritania,MRT,2010,2982.748779296875
Mauritius,MUS,2010,16269.3203125
Mexico,MEX,2010,14697.2978515625
Middle East,,2010,16716.333984375
Moldova,MDA,2010,4615.32421875
Mongolia,MNG,2010,7830.06396484375
Montenegro,MNE,2010,14509.765625
Morocco,MAR,2010,6931.55810546875
Mozambique,MOZ,2010,956.530517578125
Myanmar,MMR,2010,3772.99853515625
Namibia,NAM,2010,7905.541015625
Nepal,NPL,2010,2152.274658203125
Netherlands,NLD,2010,43812.34765625
New Zealand,NZL,2010,31586.08984375
Nicaragua,NIC,2010,3916.9658203125
Niger,NER,2010,810.1572875976562
Nigeria,NGA,2010,4904.86572265625
North Korea,PRK,2010,1751.436279296875
North Macedonia,MKD,2010,11038.2900390625
Norway,NOR,2010,78476.1484375
Oman,OMN,2010,46182.16015625
Pakistan,PAK,2010,4354.26708984375
Palestine,PSE,2010,4548.53125
Panama,PAN,2010,15169.125
Paraguay,PRY,2010,7139.02685546875
Peru,PER,2010,9507.7802734375
Philippines,PHL,2010,5694.046875
Poland,POL,2010,20608.693359375
Portugal,PRT,2010,25463.1640625
Puerto Rico,PRI,2010,33195.44140625
Qatar,QAT,2010,134802.78125
Romania,ROU,2010,16377.328125
Russia,RUS,2010,21737.384765625
Rwanda,RWA,2010,1416.392333984375
Saint Lucia,LCA,2010,10058.623046875
Sao Tome and Principe,STP,2010,3093.34521484375
Saudi Arabia,SAU,2010,42737.65625
Senegal,SEN,2010,2151.32470703125
Serbia,SRB,2010,11963.5546875
Seychelles,SYC,2010,20147.177734375
Sierra Leone,SLE,2010,1421.152099609375
Singapore,SGP,2010,58612.73046875
Slovakia,SVK,2010,21941.212890625
Slovenia,SVN,2010,26000.919921875
